Variable,Description,Question Sample,Data Type,Notes
fu1-impact_area_biodiv,Refer to the definition of impact_area_biodiv,,,
fu1-impact_area_capacity,Refer to the definition of impact_area_capacity,,,
fu1-impact_area_commdev,Refer to the definition of impact_area_commdev,,,
fu1-impact_area_conflres,Refer to the definition of impact_area_conflres,,,
fu1-impact_area_disease,Refer to the definition of impact_area_disease,,,
fu1-impact_area_employ,Refer to the definition of impact_area_employ,,,
fu1-impact_area_fueleff,Refer to the definition of impact_area_fueleff,,,
fu1-impact_area_equality,Refer to the definition of impact_area_equality,,,
fu1-impact_area_food,Refer to the definition of impact_area_food,,,
fu1-impact_area_charity,Refer to the definition of impact_area_charity,,,
fu1-impact_area_health,Refer to the definition of impact_area_health,,,
fu1-impact_area_humrights,Refer to the definition of impact_area_humrights,,,
fu1-impact_area_incgrowth,Refer to the definition of impact_area_incgrowth,,,
fu1-impact_area_natresources,Refer to the definition of impact_area_natresources,,,
fu1-impact_area_natbio,Refer to the definition of impact_area_natbio,,,
fu1-impact_area_wastemgt,Refer to the definition of impact_area_wastemgt,,,
fu1-impact_area_efficiency,Refer to the definition of impact_area_efficiency,,,
fu1-impact_area_sustenergy,Refer to the definition of impact_area_sustenergy,,,
fu1-impact_area_landuse,Refer to the definition of impact_area_landuse,,,
fu1-impact_area_highimpact,Refer to the definition of impact_area_highimpact,,,
fu1-impact_area_watresmgmt,Refer to the definition of impact_area_watresmgmt,,,
fu1-impact_area_womengirls,Refer to the definition of impact_area_womengirls,,,
fu1-impact_area_other,Refer to the definition of impact_area_other,,,
fu1-impact_use_iris,Refer to the definition of impact_use_iris,,,
fu1-impact_use_blab_giirs,Refer to the definition of impact_use_blab_giirs,,,
fu1-impact_use_othermeasure,Refer to the definition of impact_use_othermeasure,,,
fu1-report_any_prior_accelerator,Refer to the definition of report_any_prior_accelerator,,,
fu2-report_followup_yes,"Binary variable indicating the availability of second-year followup data (1 = Yes, 0 = No)",,,
fu2-New_External_ID,Refer to the definition of New_External_ID,,,
fu2-program_id,Refer to the definition of program_id,,,
fu2-program_year,Refer to the definition of program_year,,,
fu2-info_venture_country,Refer to the definition of info_venture_country,,,
fu2-info_legal_status,Refer to the definition of info_legal_status,,,
fu2-info_financial_goals,Refer to the definition of info_financial_goals,,,
fu2-info_has_targetmargin,Refer to the definition of info_has_targetmargin,,,
fu2-info_target_margin,Refer to the definition of info_target_margin,,,
fu2-info_has_socialmotives,Refer to the definition of info_has_socialmotives,,,
fu2-fins_revenues_m1,Refer to the definition of fins_revenues_m1,,,
fu2-fins_profit_m1,Refer to the definition of fins_profit_m1,,,
fu2-fins_ft_employees_m1,Refer to the definition of fins_ft_employees_m1,,,
fu2-fins_pt_employees_m1,Refer to the definition of fins_pt_employees_m1,,,
fu2-fins_wages_m1,Refer to the definition of fins_wages_m1,,,
fu2-inv_ownmoney_m1,Refer to the definition of inv_ownmoney_m1,,,
fu2-inv_equityfrom_spouses,Refer to the definition of inv_equityfrom_spouses,,,
fu2-inv_equityfrom_banks,Refer to the definition of inv_equityfrom_banks,,,
fu2-inv_equityfrom_nonbankfin,Refer to the definition of inv_equityfrom_nonbankfin,,,
fu2-inv_equityfrom_parents,Refer to the definition of inv_equityfrom_parents,,,
fu2-inv_equityfrom_angels,Refer to the definition of inv_equityfrom_angels,,,
fu2-inv_equityfrom_companies,Refer to the definition of inv_equityfrom_companies,,,
fu2-inv_equityfrom_govt,Refer to the definition of inv_equityfrom_govt,,,
fu2-inv_equityfrom_venturecap,Refer to the definition of inv_equityfrom_venturecap,,,
fu2-inv_equityfrom_na,Refer to the definition of inv_equityfrom_na,,,
fu2-inv_equityfrom_nonprofits,Refer to the definition of inv_equityfrom_nonprofits,,,
fu2-inv_equityfrom_accelerators,Refer to the definition of inv_equityfrom_accelerators,,,
fu2-inv_equityfrom_friendsfamily,Refer to the definition of inv_equityfrom_friendsfamily,,,
fu2-inv_equityfrom_bpcs,Refer to the definition of inv_equityfrom_bpcs,,,
fu2-inv_equityfrom_crowd,Refer to the definition of inv_equityfrom_crowd,,,
fu2-inv_equityfrom_nonowneremp,Refer to the definition of inv_equityfrom_nonowneremp,,,
fu2-inv_equityfrom_otherinds,Refer to the definition of inv_equityfrom_otherinds,,,
fu2-inv_equityfrom_other,Refer to the definition of inv_equityfrom_other,,,
fu2-inv_outequity_m1,Refer to the definition of inv_outequity_m1,,,
fu2-inv_debtfrom_banks,Refer to the definition of inv_debtfrom_banks,,,
fu2-inv_debtfrom_nonbankfin,Refer to the definition of inv_debtfrom_nonbankfin,,,
fu2-inv_debtfrom_venturecap,Refer to the definition of inv_debtfrom_venturecap,,,
fu2-inv_debtfrom_angels,Refer to the definition of inv_debtfrom_angels,,,
fu2-inv_debtfrom_govt,Refer to the definition of inv_debtfrom_govt,,,
fu2-inv_debtfrom_companies,Refer to the definition of inv_debtfrom_companies,,,
fu2-inv_debtfrom_nonprofits,Refer to the definition of inv_debtfrom_nonprofits,,,
fu2-inv_debtfrom_accelerators,Refer to the definition of inv_debtfrom_accelerators,,,
fu2-inv_debtfrom_family,Refer to the definition of inv_debtfrom_family,,,
fu2-inv_debtfrom_friendsfamily,Refer to the definition of inv_debtfrom_friendsfamily,,,
fu2-inv_debtfrom_bpcs,Refer to the definition of inv_debtfrom_bpcs,,,
fu2-inv_debtfrom_crowd,Refer to the definition of inv_debtfrom_crowd,,,
fu2-inv_debtfrom_nonowneremp,Refer to the definition of inv_debtfrom_nonowneremp,,,
fu2-inv_debtfrom_otherinds,Refer to the definition of inv_debtfrom_otherinds,,,
fu2-inv_debtfrom_other,Refer to the definition of inv_debtfrom_other,,,
fu2-inv_totaldebt_m1,Refer to the definition of inv_totaldebt_m1,,,
fu2-inv_philanfrom_companies,Refer to the definition of inv_philanfrom_companies,,,
fu2-inv_philanfrom_govt,Refer to the definition of inv_philanfrom_govt,,,
fu2-inv_philanfrom_nonprofits,Refer to the definition of inv_philanfrom_nonprofits,,,
fu2-inv_philanfrom_accelerators,Refer to the definition of inv_philanfrom_accelerators,,,
fu2-inv_philanfrom_friendsfamily,Refer to the definition of inv_philanfrom_friendsfamily,,,
fu2-inv_philanfrom_bpcs,Refer to the definition of inv_philanfrom_bpcs,,,
fu2-inv_philanfrom_crowd,Refer to the definition of inv_philanfrom_crowd,,,
fu2-inv_philanfrom_nonowneremp,Refer to the definition of inv_philanfrom_nonowneremp,,,
fu2-inv_philanfrom_otherinds,Refer to the definition of inv_philanfrom_otherinds,,,
fu2-inv_philanfrom_anothersource,Refer to the definition of inv_philanfrom_anothersource,,,
fu2-inv_philan_m1,Refer to the definition of inv_philan_m1,,,
fu2-inv_plans_outequity_12months,Refer to the definition of inv_plans_outequity_12months,,,
fu2-inv_plans_debt_12months,Refer to the definition of inv_plans_debt_12months,,,
fu2-inv_plans_philan_12months,Refer to the definition of inv_plans_philan_12months,,,
fu2-inv_plans_outequity_3years,Refer to the definition of inv_plans_outequity_3years,,,
fu2-inv_plans_debt_3years,Refer to the definition of inv_plans_debt_3years,,,
fu2-inv_plans_philan_3years,Refer to the definition of inv_plans_philan_3years,,,
fu2-impact_area_water,Refer to the definition of impact_area_water,,,
fu2-impact_area_educ,Refer to the definition of impact_area_educ,,,
fu2-impact_area_energy,Refer to the definition of impact_area_energy,,,
fu2-impact_area_finsrv,Refer to the definition of impact_area_finsrv,,,
fu2-impact_area_information,Refer to the definition of impact_area_information,,,
fu2-impact_area_housing,Refer to the definition of impact_area_housing,,,
fu2-impact_area_agprod,Refer to the definition of impact_area_agprod,,,
fu2-impact_area_biodiv,Refer to the definition of impact_area_biodiv,,,
fu2-impact_area_capacity,Refer to the definition of impact_area_capacity,,,
fu2-impact_area_commdev,Refer to the definition of impact_area_commdev,,,
fu2-impact_area_conflres,Refer to the definition of impact_area_conflres,,,
fu2-impact_area_disease,Refer to the definition of impact_area_disease,,,
fu2-impact_area_employ,Refer to the definition of impact_area_employ,,,
fu2-impact_area_fueleff,Refer to the definition of impact_area_fueleff,,,
fu2-impact_area_equality,Refer to the definition of impact_area_equality,,,
fu2-impact_area_food,Refer to the definition of impact_area_food,,,
fu2-impact_area_charity,Refer to the definition of impact_area_charity,,,
fu2-impact_area_health,Refer to the definition of impact_area_health,,,
fu2-impact_area_humrights,Refer to the definition of impact_area_humrights,,,
fu2-impact_area_incgrowth,Refer to the definition of impact_area_incgrowth,,,
fu2-impact_area_natresources,Refer to the definition of impact_area_natresources,,,
fu2-impact_area_natbio,Refer to the definition of impact_area_natbio,,,
fu2-impact_area_wastemgt,Refer to the definition of impact_area_wastemgt,,,
fu2-impact_area_efficiency,Refer to the definition of impact_area_efficiency,,,
fu2-impact_area_sustenergy,Refer to the definition of impact_area_sustenergy,,,
fu2-impact_area_landuse,Refer to the definition of impact_area_landuse,,,
fu2-impact_area_highimpact,Refer to the definition of impact_area_highimpact,,,
fu2-impact_area_watresmgmt,Refer to the definition of impact_area_watresmgmt,,,
fu2-impact_area_womengirls,Refer to the definition of impact_area_womengirls,,,
fu2-impact_area_other,Refer to the definition of impact_area_other,,,
fu2-impact_use_iris,Refer to the definition of impact_use_iris,,,
fu2-impact_use_blab_giirs,Refer to the definition of impact_use_blab_giirs,,,
fu2-impact_use_othermeasure,Refer to the definition of impact_use_othermeasure,,,
fu2-report_any_prior_accelerator,Refer to the definition of report_any_prior_accelerator,,,
fu3-report_followup_yes,"Binary variable indicating the availability of third-year followup data (1 = Yes, 0 = No)",,,
fu3-New_External_ID,Refer to the definition of New_External_ID,,,
fu3-program_id,Refer to the definition of program_id,,,
fu3-program_year,Refer to the definition of program_year,,,
fu3-info_venture_country,Refer to the definition of info_venture_country,,,
fu3-info_legal_status,Refer to the definition of info_legal_status,,,
fu3-info_financial_goals,Refer to the definition of info_financial_goals,,,
fu3-info_has_targetmargin,Refer to the definition of info_has_targetmargin,,,
fu3-info_target_margin,Refer to the definition of info_target_margin,,,
fu3-info_has_socialmotives,Refer to the definition of info_has_socialmotives,,,
fu3-fins_revenues_m1,Refer to the definition of fins_revenues_m1,,,
fu3-fins_profit_m1,Refer to the definition of fins_profit_m1,,,
fu3-fins_ft_employees_m1,Refer to the definition of fins_ft_employees_m1,,,
fu3-fins_pt_employees_m1,Refer to the definition of fins_pt_employees_m1,,,
fu3-fins_wages_m1,Refer to the definition of fins_wages_m1,,,
fu3-inv_ownmoney_m1,Refer to the definition of inv_ownmoney_m1,,,
fu3-inv_equityfrom_spouses,Refer to the definition of inv_equityfrom_spouses,,,
fu3-inv_equityfrom_banks,Refer to the definition of inv_equityfrom_banks,,,
fu3-inv_equityfrom_nonbankfin,Refer to the definition of inv_equityfrom_nonbankfin,,,
fu3-inv_equityfrom_parents,Refer to the definition of inv_equityfrom_parents,,,
fu3-inv_equityfrom_angels,Refer to the definition of inv_equityfrom_angels,,,
fu3-inv_equityfrom_companies,Refer to the definition of inv_equityfrom_companies,,,
fu3-inv_equityfrom_govt,Refer to the definition of inv_equityfrom_govt,,,
fu3-inv_equityfrom_venturecap,Refer to the definition of inv_equityfrom_venturecap,,,
fu3-inv_equityfrom_na,Refer to the definition of inv_equityfrom_na,,,
fu3-inv_equityfrom_nonprofits,Refer to the definition of inv_equityfrom_nonprofits,,,
fu3-inv_equityfrom_accelerators,Refer to the definition of inv_equityfrom_accelerators,,,
fu3-inv_equityfrom_friendsfamily,Refer to the definition of inv_equityfrom_friendsfamily,,,
fu3-inv_equityfrom_bpcs,Refer to the definition of inv_equityfrom_bpcs,,,
fu3-inv_equityfrom_crowd,Refer to the definition of inv_equityfrom_crowd,,,
fu3-inv_equityfrom_nonowneremp,Refer to the definition of inv_equityfrom_nonowneremp,,,
fu3-inv_equityfrom_otherinds,Refer to the definition of inv_equityfrom_otherinds,,,
fu3-inv_equityfrom_other,Refer to the definition of inv_equityfrom_other,,,
fu3-inv_outequity_m1,Refer to the definition of inv_outequity_m1,,,
fu3-inv_debtfrom_banks,Refer to the definition of inv_debtfrom_banks,,,
fu3-inv_debtfrom_nonbankfin,Refer to the definition of inv_debtfrom_nonbankfin,,,
fu3-inv_debtfrom_venturecap,Refer to the definition of inv_debtfrom_venturecap,,,
fu3-inv_debtfrom_angels,Refer to the definition of inv_debtfrom_angels,,,
fu3-inv_debtfrom_govt,Refer to the definition of inv_debtfrom_govt,,,
fu3-inv_debtfrom_companies,Refer to the definition of inv_debtfrom_companies,,,
fu3-inv_debtfrom_nonprofits,Refer to the definition of inv_debtfrom_nonprofits,,,
fu3-inv_debtfrom_accelerators,Refer to the definition of inv_debtfrom_accelerators,,,
fu3-inv_debtfrom_family,Refer to the definition of inv_debtfrom_family,,,
fu3-inv_debtfrom_friendsfamily,Refer to the definition of inv_debtfrom_friendsfamily,,,
fu3-inv_debtfrom_bpcs,Refer to the definition of inv_debtfrom_bpcs,,,
fu3-inv_debtfrom_crowd,Refer to the definition of inv_debtfrom_crowd,,,
fu3-inv_debtfrom_nonowneremp,Refer to the definition of inv_debtfrom_nonowneremp,,,
fu3-inv_debtfrom_otherinds,Refer to the definition of inv_debtfrom_otherinds,,,
fu3-inv_debtfrom_other,Refer to the definition of inv_debtfrom_other,,,
fu3-inv_totaldebt_m1,Refer to the definition of inv_totaldebt_m1,,,
fu3-inv_philanfrom_companies,Refer to the definition of inv_philanfrom_companies,,,
fu3-inv_philanfrom_govt,Refer to the definition of inv_philanfrom_govt,,,
fu3-inv_philanfrom_nonprofits,Refer to the definition of inv_philanfrom_nonprofits,,,
fu3-inv_philanfrom_accelerators,Refer to the definition of inv_philanfrom_accelerators,,,
fu3-inv_philanfrom_friendsfamily,Refer to the definition of inv_philanfrom_friendsfamily,,,
fu3-inv_philanfrom_bpcs,Refer to the definition of inv_philanfrom_bpcs,,,
fu3-inv_philanfrom_crowd,Refer to the definition of inv_philanfrom_crowd,,,
fu3-inv_philanfrom_nonowneremp,Refer to the definition of inv_philanfrom_nonowneremp,,,
fu3-inv_philanfrom_otherinds,Refer to the definition of inv_philanfrom_otherinds,,,
fu3-inv_philanfrom_anothersource,Refer to the definition of inv_philanfrom_anothersource,,,
fu3-inv_philan_m1,Refer to the definition of inv_philan_m1,,,
fu3-inv_plans_outequity_12months,Refer to the definition of inv_plans_outequity_12months,,,
fu3-inv_plans_debt_12months,Refer to the definition of inv_plans_debt_12months,,,
fu3-inv_plans_philan_12months,Refer to the definition of inv_plans_philan_12months,,,
fu3-inv_plans_outequity_3years,Refer to the definition of inv_plans_outequity_3years,,,
fu3-inv_plans_debt_3years,Refer to the definition of inv_plans_debt_3years,,,
fu3-inv_plans_philan_3years,Refer to the definition of inv_plans_philan_3years,,,
fu3-impact_area_water,Refer to the definition of impact_area_water,,,
fu3-impact_area_educ,Refer to the definition of impact_area_educ,,,
fu3-impact_area_energy,Refer to the definition of impact_area_energy,,,
fu3-impact_area_finsrv,Refer to the definition of impact_area_finsrv,,,
fu3-impact_area_information,Refer to the definition of impact_area_information,,,
fu3-impact_area_housing,Refer to the definition of impact_area_housing,,,
fu3-impact_area_agprod,Refer to the definition of impact_area_agprod,,,
fu3-impact_area_biodiv,Refer to the definition of impact_area_biodiv,,,
fu3-impact_area_capacity,Refer to the definition of impact_area_capacity,,,
fu3-impact_area_commdev,Refer to the definition of impact_area_commdev,,,
fu3-impact_area_conflres,Refer to the definition of impact_area_conflres,,,
fu3-impact_area_disease,Refer to the definition of impact_area_disease,,,
fu3-impact_area_employ,Refer to the definition of impact_area_employ,,,
fu3-impact_area_fueleff,Refer to the definition of impact_area_fueleff,,,
fu3-impact_area_equality,Refer to the definition of impact_area_equality,,,
fu3-impact_area_food,Refer to the definition of impact_area_food,,,
fu3-impact_area_charity,Refer to the definition of impact_area_charity,,,
fu3-impact_area_health,Refer to the definition of impact_area_health,,,
fu3-impact_area_humrights,Refer to the definition of impact_area_humrights,,,
fu3-impact_area_incgrowth,Refer to the definition of impact_area_incgrowth,,,
fu3-impact_area_natresources,Refer to the definition of impact_area_natresources,,,
fu3-impact_area_natbio,Refer to the definition of impact_area_natbio,,,
fu3-impact_area_wastemgt,Refer to the definition of impact_area_wastemgt,,,
fu3-impact_area_efficiency,Refer to the definition of impact_area_efficiency,,,
fu3-impact_area_sustenergy,Refer to the definition of impact_area_sustenergy,,,
fu3-impact_area_landuse,Refer to the definition of impact_area_landuse,,,
fu3-impact_area_highimpact,Refer to the definition of impact_area_highimpact,,,
fu3-impact_area_watresmgmt,Refer to the definition of impact_area_watresmgmt,,,
fu3-impact_area_womengirls,Refer to the definition of impact_area_womengirls,,,
fu3-impact_area_other,Refer to the definition of impact_area_other,,,
fu3-impact_use_iris,Refer to the definition of impact_use_iris,,,
fu3-impact_use_blab_giirs,Refer to the definition of impact_use_blab_giirs,,,
fu3-impact_use_othermeasure,Refer to the definition of impact_use_othermeasure,,,
fu3-report_any_prior_accelerator,Refer to the definition of report_any_prior_accelerator,,,
fu4-report_followup_yes,"Binary variable indicating the availability of fourth-year followup data (1 = Yes, 0 = No)",,,
fu4-New_External_ID,Refer to the definition of New_External_ID,,,
fu4-program_id,Refer to the definition of program_id,,,
fu4-program_year,Refer to the definition of program_year,,,
fu4-info_venture_country,Refer to the definition of info_venture_country,,,
fu4-info_legal_status,Refer to the definition of info_legal_status,,,
fu4-info_financial_goals,Refer to the definition of info_financial_goals,,,
fu4-info_has_targetmargin,Refer to the definition of info_has_targetmargin,,,
fu4-info_target_margin,Refer to the definition of info_target_margin,,,
fu4-info_has_socialmotives,Refer to the definition of info_has_socialmotives,,,
fu4-fins_revenues_m1,Refer to the definition of fins_revenues_m1,,,
fu4-fins_profit_m1,Refer to the definition of fins_profit_m1,,,
fu4-fins_ft_employees_m1,Refer to the definition of fins_ft_employees_m1,,,
fu4-fins_pt_employees_m1,Refer to the definition of fins_pt_employees_m1,,,
fu4-fins_wages_m1,Refer to the definition of fins_wages_m1,,,
fu4-inv_ownmoney_m1,Refer to the definition of inv_ownmoney_m1,,,
fu4-inv_equityfrom_spouses,Refer to the definition of inv_equityfrom_spouses,,,
fu4-inv_equityfrom_banks,Refer to the definition of inv_equityfrom_banks,,,
fu4-inv_equityfrom_nonbankfin,Refer to the definition of inv_equityfrom_nonbankfin,,,
fu4-inv_equityfrom_parents,Refer to the definition of inv_equityfrom_parents,,,
fu4-inv_equityfrom_angels,Refer to the definition of inv_equityfrom_angels,,,
fu4-inv_equityfrom_companies,Refer to the definition of inv_equityfrom_companies,,,
fu4-inv_equityfrom_govt,Refer to the definition of inv_equityfrom_govt,,,
fu4-inv_equityfrom_venturecap,Refer to the definition of inv_equityfrom_venturecap,,,
fu4-inv_equityfrom_na,Refer to the definition of inv_equityfrom_na,,,
fu4-inv_equityfrom_nonprofits,Refer to the definition of inv_equityfrom_nonprofits,,,
fu4-inv_equityfrom_accelerators,Refer to the definition of inv_equityfrom_accelerators,,,
fu4-inv_equityfrom_friendsfamily,Refer to the definition of inv_equityfrom_friendsfamily,,,
fu4-inv_equityfrom_bpcs,Refer to the definition of inv_equityfrom_bpcs,,,
fu4-inv_equityfrom_crowd,Refer to the definition of inv_equityfrom_crowd,,,
fu4-inv_equityfrom_nonowneremp,Refer to the definition of inv_equityfrom_nonowneremp,,,
fu4-inv_equityfrom_otherinds,Refer to the definition of inv_equityfrom_otherinds,,,
fu4-inv_equityfrom_other,Refer to the definition of inv_equityfrom_other,,,
fu4-inv_outequity_m1,Refer to the definition of inv_outequity_m1,,,
fu4-inv_debtfrom_banks,Refer to the definition of inv_debtfrom_banks,,,
fu4-inv_debtfrom_nonbankfin,Refer to the definition of inv_debtfrom_nonbankfin,,,
fu4-inv_debtfrom_venturecap,Refer to the definition of inv_debtfrom_venturecap,,,
fu4-inv_debtfrom_angels,Refer to the definition of inv_debtfrom_angels,,,
fu4-inv_debtfrom_govt,Refer to the definition of inv_debtfrom_govt,,,
fu4-inv_debtfrom_companies,Refer to the definition of inv_debtfrom_companies,,,
fu4-inv_debtfrom_nonprofits,Refer to the definition of inv_debtfrom_nonprofits,,,
fu4-inv_debtfrom_accelerators,Refer to the definition of inv_debtfrom_accelerators,,,
fu4-inv_debtfrom_family,Refer to the definition of inv_debtfrom_family,,,
fu4-inv_debtfrom_friendsfamily,Refer to the definition of inv_debtfrom_friendsfamily,,,
fu4-inv_debtfrom_bpcs,Refer to the definition of inv_debtfrom_bpcs,,,
fu4-inv_debtfrom_crowd,Refer to the definition of inv_debtfrom_crowd,,,
fu4-inv_debtfrom_nonowneremp,Refer to the definition of inv_debtfrom_nonowneremp,,,
fu4-inv_debtfrom_otherinds,Refer to the definition of inv_debtfrom_otherinds,,,
fu4-inv_debtfrom_other,Refer to the definition of inv_debtfrom_other,,,
fu4-inv_totaldebt_m1,Refer to the definition of inv_totaldebt_m1,,,
fu4-inv_philanfrom_companies,Refer to the definition of inv_philanfrom_companies,,,
fu4-inv_philanfrom_govt,Refer to the definition of inv_philanfrom_govt,,,
fu4-inv_philanfrom_nonprofits,Refer to the definition of inv_philanfrom_nonprofits,,,
fu4-inv_philanfrom_accelerators,Refer to the definition of inv_philanfrom_accelerators,,,
fu4-inv_philanfrom_friendsfamily,Refer to the definition of inv_philanfrom_friendsfamily,,,
fu4-inv_philanfrom_bpcs,Refer to the definition of inv_philanfrom_bpcs,,,
fu4-inv_philanfrom_crowd,Refer to the definition of inv_philanfrom_crowd,,,
fu4-inv_philanfrom_nonowneremp,Refer to the definition of inv_philanfrom_nonowneremp,,,
fu4-inv_philanfrom_otherinds,Refer to the definition of inv_philanfrom_otherinds,,,
fu4-inv_philanfrom_anothersource,Refer to the definition of inv_philanfrom_anothersource,,,
fu4-inv_philan_m1,Refer to the definition of inv_philan_m1,,,
fu4-inv_plans_outequity_12months,Refer to the definition of inv_plans_outequity_12months,,,
fu4-inv_plans_debt_12months,Refer to the definition of inv_plans_debt_12months,,,
fu4-inv_plans_philan_12months,Refer to the definition of inv_plans_philan_12months,,,
fu4-inv_plans_outequity_3years,Refer to the definition of inv_plans_outequity_3years,,,
fu4-inv_plans_debt_3years,Refer to the definition of inv_plans_debt_3years,,,
fu4-inv_plans_philan_3years,Refer to the definition of inv_plans_philan_3years,,,
fu4-impact_area_water,Refer to the definition of impact_area_water,,,
fu4-impact_area_educ,Refer to the definition of impact_area_educ,,,
fu4-impact_area_energy,Refer to the definition of impact_area_energy,,,
fu4-impact_area_finsrv,Refer to the definition of impact_area_finsrv,,,
fu4-impact_area_information,Refer to the definition of impact_area_information,,,
fu4-impact_area_housing,Refer to the definition of impact_area_housing,,,
fu4-impact_area_agprod,Refer to the definition of impact_area_agprod,,,
fu4-impact_area_biodiv,Refer to the definition of impact_area_biodiv,,,
fu4-impact_area_capacity,Refer to the definition of impact_area_capacity,,,
fu4-impact_area_commdev,Refer to the definition of impact_area_commdev,,,
fu4-impact_area_conflres,Refer to the definition of impact_area_conflres,,,
fu4-impact_area_disease,Refer to the definition of impact_area_disease,,,
fu4-impact_area_employ,Refer to the definition of impact_area_employ,,,
fu4-impact_area_fueleff,Refer to the definition of impact_area_fueleff,,,
fu4-impact_area_equality,Refer to the definition of impact_area_equality,,,
fu4-impact_area_food,Refer to the definition of impact_area_food,,,
fu4-impact_area_charity,Refer to the definition of impact_area_charity,,,
fu4-impact_area_health,Refer to the definition of impact_area_health,,,
fu4-impact_area_humrights,Refer to the definition of impact_area_humrights,,,
fu4-impact_area_incgrowth,Refer to the definition of impact_area_incgrowth,,,
fu4-impact_area_natresources,Refer to the definition of impact_area_natresources,,,
fu4-impact_area_natbio,Refer to the definition of impact_area_natbio,,,
fu4-impact_area_wastemgt,Refer to the definition of impact_area_wastemgt,,,
fu4-impact_area_efficiency,Refer to the definition of impact_area_efficiency,,,
fu4-impact_area_sustenergy,Refer to the definition of impact_area_sustenergy,,,
fu4-impact_area_landuse,Refer to the definition of impact_area_landuse,,,
fu4-impact_area_highimpact,Refer to the definition of impact_area_highimpact,,,
fu4-impact_area_watresmgmt,Refer to the definition of impact_area_watresmgmt,,,
fu4-impact_area_womengirls,Refer to the definition of impact_area_womengirls,,,
fu4-impact_area_other,Refer to the definition of impact_area_other,,,
fu4-impact_use_iris,Refer to the definition of impact_use_iris,,,
fu4-impact_use_blab_giirs,Refer to the definition of impact_use_blab_giirs,,,
fu4-impact_use_othermeasure,Refer to the definition of impact_use_othermeasure,,,
fu4-report_any_prior_accelerator,Refer to the definition of report_any_prior_accelerator,,,
